Unnamed: 0,Comment,Sentiment
8221,perfect timing horrible migraine get sleep fast thanks much,2
16730,possibly greatest film ever made greatest story lesson material possession never take prescendence common humanity dollar bill always looks big bedspread line,2
64126,think youd look cute beanie hat,2
181149,course modi others thieves thugs mahathugs,1
160316,hahaha diverting nehru brought modi reaped nevt befor india central institutions used political purpose jst befor election,2
86575,yes plz ban caricature modi,1
109360,shame modi bcoz tentamounts inferior changed naxal,1
72309,donbt like peel prawns also dont like going shopping running money crawling round car looking,0
60304,mouth sure,2
163691,gujarat proved land liars low level cheap politicians modi continues low level cheap speeches modi unfit blaming opposition role opposition democracy question govt instead answering failed modi blaming others,2
138208,mission shakti amit shah hits back rahul gandhi world theatre day jibe modi,1
176379,disgrace madame talk abused including modi office sacked guess isnâ havenâ fought everyone course idea politics appreciated anyone know politics,2
200237,kejriwal sidhu rahul gandhi become star pakistan shame modis diplomacy brings abhinandan back performed air surgical strikeunlike manmohan govt shame,1
224087,goa manohar parrikars son hints joining politics says âwill honour life continuing legacyâ india news,1
54106,free version supports habits basically nothing,0
215213,success congress govt kashmir many decades modi congis appeasing muslims able stop terrorism funded heavily indian govt state stops terrorism vanish,2
12401,want read tips instead watchcheck blog video aiming readingcheck supertutortvcomsuperseminar pop class w brooke learn fast brooke hour live sat crash course work common app essaypersonal statements w brooke save group essay class use code price adjustments previous purchases offer ends august pm pacific time sale valid essay course,2
158864,could get economic wisdom manmohan singh fearless political stature narendra modi one place sigh,2
132657,mumbai attack congress chup army ans dena chahti thi airforce ans dena chahti thilaikin congress chup aaj scientists kuch kia bhi problemtum gaddar nhi kia bhago desh gaddaro modi rok sako rok,1
101380,modi created brand natural leaderhe rose aftr guj genocide hardcore hindutv otherwise come failed prevent lives sabarmati ppl burnt alive satvik state projectd,2
115577,big failures modi governmentthe irony issues narendra modi campaigned ones government managed aggravate since coming power promises keep miles sleep,2
219561,modi rioters,1
192315,govt taken measures set chowkidar space modi odisha times india â¡,1
63041,sadly cannot listen sob,0
164570,must listen parshant bhushan modi govt destroying institutions,0
45950,monday good,2
123177,blame sent low orbit space,1
120870,would addressing nation soon important message,2
37443,hair messy ponytail day took looks really nice still messy,1
184775,explosive khulasa syed shuja kept extra pre programmed reserve make modi win varanasi watch video â¤µ,2
